group1,group2,meandiff,p-adj,lower,upper,reject,parameter,significant
358r_HYB007,358r_RP043,-323.8429,0.9859,-1824.9263,1177.2404,FALSE,mean_fluorescence_main_root,FALSE
358r_HYB007,417r_HYB007,3143.2323,0,1642.1489,4644.3156,TRUE,mean_fluorescence_main_root,TRUE
358r_HYB007,417r_RP043,4605.7237,0,3209.3251,6002.1222,TRUE,mean_fluorescence_main_root,TRUE
358r_HYB007,mock_HYB007,-1210.6883,0.1726,-2711.7717,290.395,FALSE,mean_fluorescence_main_root,FALSE
358r_HYB007,mock_RP043,-1214.4482,0.1701,-2715.5316,286.6351,FALSE,mean_fluorescence_main_root,FALSE
358r_RP043,417r_HYB007,3467.0752,0,1909.3274,5024.823,TRUE,mean_fluorescence_main_root,TRUE
358r_RP043,417r_RP043,4929.5666,0,3472.4269,6386.7062,TRUE,mean_fluorescence_main_root,TRUE
358r_RP043,mock_HYB007,-886.8454,0.5281,-2444.5932,670.9024,FALSE,mean_fluorescence_main_root,FALSE
358r_RP043,mock_RP043,-890.6053,0.5235,-2448.3531,667.1425,FALSE,mean_fluorescence_main_root,FALSE
417r_HYB007,417r_RP043,1462.4914,0.0487,5.3518,2919.631,TRUE,mean_fluorescence_main_root,TRUE
417r_HYB007,mock_HYB007,-4353.9206,0,-5911.6684,-2796.1728,TRUE,mean_fluorescence_main_root,TRUE
417r_HYB007,mock_RP043,-4357.6805,0,-5915.4283,-2799.9327,TRUE,mean_fluorescence_main_root,TRUE
417r_RP043,mock_HYB007,-5816.412,0,-7273.5516,-4359.2723,TRUE,mean_fluorescence_main_root,TRUE
417r_RP043,mock_RP043,-5820.1719,0,-7277.3115,-4363.0323,TRUE,mean_fluorescence_main_root,TRUE
mock_HYB007,mock_RP043,-3.7599,1,-1561.5077,1553.9879,FALSE,mean_fluorescence_main_root,FALSE
358r_HYB007,358r_RP043,237.1722,0.9605,-766.8048,1241.1491,FALSE,mean_fluorescence_lateral_root,FALSE
358r_HYB007,417r_HYB007,1046.1672,0.0724,-76.3131,2168.6476,FALSE,mean_fluorescence_lateral_root,FALSE
358r_HYB007,417r_RP043,1376.2285,0.0041,437.0941,2315.3629,TRUE,mean_fluorescence_lateral_root,TRUE
358r_HYB007,mock_HYB007,-375.9067,0.7912,-1379.8836,628.0702,FALSE,mean_fluorescence_lateral_root,FALSE
358r_HYB007,mock_RP043,-370.055,0.8616,-1492.5353,752.4254,FALSE,mean_fluorescence_lateral_root,FALSE
358r_RP043,417r_HYB007,808.9951,0.2171,-313.4853,1931.4754,FALSE,mean_fluorescence_lateral_root,FALSE
358r_RP043,417r_RP043,1139.0563,0.0156,199.9219,2078.1907,TRUE,mean_fluorescence_lateral_root,TRUE
358r_RP043,mock_HYB007,-613.0789,0.3607,-1617.0558,390.8981,FALSE,mean_fluorescence_lateral_root,FALSE
358r_RP043,mock_RP043,-607.2271,0.4786,-1729.7075,515.2532,FALSE,mean_fluorescence_lateral_root,FALSE
417r_HYB007,417r_RP043,330.0613,0.8883,-734.8171,1394.9396,FALSE,mean_fluorescence_lateral_root,FALSE
417r_HYB007,mock_HYB007,-1422.0739,0.0116,-2544.5543,-299.5936,TRUE,mean_fluorescence_lateral_root,TRUE
417r_HYB007,mock_RP043,-1416.2222,0.0218,-2645.8378,-186.6066,TRUE,mean_fluorescence_lateral_root,TRUE
417r_RP043,mock_HYB007,-1752.1352,0.0006,-2691.2696,-813.0008,TRUE,mean_fluorescence_lateral_root,TRUE
417r_RP043,mock_RP043,-1746.2834,0.0017,-2811.1618,-681.4051,TRUE,mean_fluorescence_lateral_root,TRUE
mock_HYB007,mock_RP043,5.8517,1,-1116.6286,1128.3321,FALSE,mean_fluorescence_lateral_root,FALSE
358r_HYB007,358r_RP043,-3.2871,1,-489.372,482.7978,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_HYB007,417r_HYB007,404.7574,0.1126,-57.0943,866.6091,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_HYB007,417r_RP043,457.6686,0.0402,13.9358,901.4014,TRUE,mean_fluorescence_main_root_tip,TRUE
358r_HYB007,mock_HYB007,-58.8505,0.9987,-520.7022,403.0012,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_HYB007,mock_RP043,-75.0838,0.9969,-561.1687,411.0011,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_RP043,417r_HYB007,408.0445,0.1657,-94.635,910.7241,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_RP043,417r_RP043,460.9557,0.0709,-25.1292,947.0406,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_RP043,mock_HYB007,-55.5634,0.9994,-558.243,447.1162,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_RP043,mock_RP043,-71.7967,0.9982,-596.8284,453.235,FALSE,mean_fluorescence_main_root_tip,FALSE
417r_HYB007,417r_RP043,52.9112,0.9993,-408.9405,514.7629,FALSE,mean_fluorescence_main_root_tip,FALSE
417r_HYB007,mock_HYB007,-463.6079,0.0625,-942.8941,15.6782,FALSE,mean_fluorescence_main_root_tip,FALSE
417r_HYB007,mock_RP043,-479.8413,0.068,-982.5208,22.8383,FALSE,mean_fluorescence_main_root_tip,FALSE
417r_RP043,mock_HYB007,-516.5191,0.0214,-978.3708,-54.6674,TRUE,mean_fluorescence_main_root_tip,TRUE
417r_RP043,mock_RP043,-532.7525,0.0252,-1018.8374,-46.6676,TRUE,mean_fluorescence_main_root_tip,TRUE
mock_HYB007,mock_RP043,-16.2333,1,-518.9129,486.4462,FALSE,mean_fluorescence_main_root_tip,FALSE
358r_HYB007,358r_RP043,281.7016,0.9814,-948.9594,1512.3626,FALSE,mean_fluorescence_other_tip,FALSE
358r_HYB007,417r_HYB007,1327.1529,0.0187,157.8451,2496.4608,TRUE,mean_fluorescence_other_tip,TRUE
358r_HYB007,417r_RP043,1754.4715,0.0006,631.0369,2877.9062,TRUE,mean_fluorescence_other_tip,TRUE
358r_HYB007,mock_HYB007,-428.7273,0.8539,-1552.1619,694.7073,FALSE,mean_fluorescence_other_tip,FALSE
358r_HYB007,mock_RP043,-430.3457,0.8716,-1599.6535,738.9621,FALSE,mean_fluorescence_other_tip,FALSE
358r_RP043,417r_HYB007,1045.4513,0.1578,-227.2238,2318.1264,FALSE,mean_fluorescence_other_tip,FALSE
358r_RP043,417r_RP043,1472.7699,0.0116,242.1089,2703.4309,TRUE,mean_fluorescence_other_tip,TRUE
358r_RP043,mock_HYB007,-710.4289,0.5115,-1941.0899,520.2321,FALSE,mean_fluorescence_other_tip,FALSE
358r_RP043,mock_RP043,-712.0473,0.545,-1984.7224,560.6278,FALSE,mean_fluorescence_other_tip,FALSE
417r_HYB007,417r_RP043,427.3186,0.8749,-741.9892,1596.6264,FALSE,mean_fluorescence_other_tip,FALSE
417r_HYB007,mock_HYB007,-1755.8802,0.001,-2925.1881,-586.5724,TRUE,mean_fluorescence_other_tip,TRUE
417r_HYB007,mock_RP043,-1757.4987,0.0015,-2970.9467,-544.0506,TRUE,mean_fluorescence_other_tip,TRUE
417r_RP043,mock_HYB007,-2183.1988,0,-3306.6334,-1059.7642,TRUE,mean_fluorescence_other_tip,TRUE
