
parameter,genotype,mean_auc,mean_auc_col0,difference,p_value
mean_fluorescence_dilated_root,Col-0,20889.293971307998,20889.293971307998,0.0,
mean_fluorescence_dilated_root,cyp82c4,20012.598161135997,20889.293971307998,-876.6958101720011,0.2102700610493083
mean_fluorescence_dilated_root,f6'h1,14441.286291084001,20889.293971307998,-6448.007680223996,2.2428861485920412e-14
mean_fluorescence_dilated_root,s8h,23825.40838524737,20889.293971307998,2936.1144139393728,0.028668275638013923
mean_fluorescence_dilated_root_exclusive,Col-0,20667.236471289998,20667.236471289998,0.0,
mean_fluorescence_dilated_root_exclusive,cyp82c4,19742.91599146,20667.236471289998,-924.3204798299994,0.17908779131743038
mean_fluorescence_dilated_root_exclusive,f6'h1,14378.141238438,20667.236471289998,-6289.095232851998,3.292683382188193e-14
mean_fluorescence_dilated_root_exclusive,s8h,23506.7593089579,20667.236471289998,2839.5228376679006,0.03194674730257407
mean_fluorescence_lateral_root,Col-0,18183.183952424,18183.183952424,0.0,
mean_fluorescence_lateral_root,cyp82c4,20336.434239806,18183.183952424,2153.2502873820013,0.07577876441543972
mean_fluorescence_lateral_root,f6'h1,11394.619527814,18183.183952424,-6788.564424609998,4.6467198070680884e-07
mean_fluorescence_lateral_root,s8h,26188.67694149412,18183.183952424,8005.4929890701205,1.4066457148899643e-05
mean_fluorescence_main_root,Col-0,26939.929790981998,26939.929790981998,0.0,
mean_fluorescence_main_root,cyp82c4,27389.21656984,26939.929790981998,449.2867788580006,0.6937643025358823
mean_fluorescence_main_root,f6'h1,16434.708325406,26939.929790981998,-10505.221465575996,3.144996696750747e-16
mean_fluorescence_main_root,s8h,30927.08547245,26939.929790981998,3987.1556814680007,0.018738092842850003
mean_fluorescence_main_root_tip,Col-0,23569.977376917996,23569.977376917996,0.0,
mean_fluorescence_main_root_tip,cyp82c4,20663.071147310002,23569.977376917996,-2906.9062296079937,5.2365755513553395e-06
mean_fluorescence_main_root_tip,f6'h1,16150.990163906,23569.977376917996,-7418.987213011995,4.9168031660125145e-17
mean_fluorescence_main_root_tip,s8h,27452.792925110523,23569.977376917996,3882.815548192528,0.019602622333754666
mean_fluorescence_node,Col-0,17625.628927208,17625.628927208,0.0,
mean_fluorescence_node,cyp82c4,20216.48783079,17625.628927208,2590.8589035820005,0.04018552485853106
mean_fluorescence_node,f6'h1,11898.775347997916,17625.628927208,-5726.853579210083,3.7790852393688595e-07
mean_fluorescence_node,s8h,25279.898898967644,17625.628927208,7654.269971759644,1.2499744918673727e-05
mean_fluorescence_other_tip,Col-0,21539.178729316,21539.178729316,0.0,
mean_fluorescence_other_tip,cyp82c4,21682.686476270002,21539.178729316,143.50774695400105,0.8395381302348262
mean_fluorescence_other_tip,f6'h1,15816.983041088002,21539.178729316,-5722.195688227999,6.32271043229587e-12
mean_fluorescence_other_tip,s8h,26240.070645736843,21539.178729316,4700.891916420842,0.0020786253065170515
mean_fluorescence_shoot,Col-0,18675.483315417998,18675.483315417998,0.0,
mean_fluorescence_shoot,cyp82c4,17951.04936915,18675.483315417998,-724.4339462679964,0.31432885206375516
mean_fluorescence_shoot,f6'h1,15103.893527496,18675.483315417998,-3571.5897879219974,1.7051093476261088e-08
mean_fluorescence_shoot,s8h,22527.46307935588,18675.483315417998,3851.979763937881,2.6017412502966018e-05
mean_fluorescence_unknown,Col-0,,,,
mean_fluorescence_unknown,cyp82c4,,,,
mean_fluorescence_unknown,f6'h1,,,,
