parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
mean_fluorescence_main_root,DR5v2,417pvd,13250.4235346603,13942.887368387306,-692.4638337270062,0.23505493370861286,3804.5142530133216,9445.909281646978,3.13031401937262e-16
mean_fluorescence_main_root,DR5v2,417r,14618.870117390816,15508.427100429439,-889.556983038623,0.09941878675944481,3804.5142530133216,10814.355864377494,3.13077000162665e-19
mean_fluorescence_main_root,DR5v2,mock,3804.5142530133216,3668.3999859362953,136.1142670770264,0.41221105405961594,3804.5142530133216,0.0,
mean_fluorescence_main_root,Col-0,417pvd,13942.887368387306,13942.887368387306,0.0,,3668.3999859362953,10274.48738245101,2.2494000541025808e-06
mean_fluorescence_main_root,Col-0,417r,15508.427100429439,15508.427100429439,0.0,,3668.3999859362953,11840.027114493143,6.334434963167384e-07
mean_fluorescence_main_root,Col-0,mock,3668.3999859362953,3668.3999859362953,0.0,,3668.3999859362953,0.0,
mean_fluorescence_main_root,,417pvd,,13942.887368387306,,,,,
mean_fluorescence_main_root,,417r,,15508.427100429439,,,,,
mean_fluorescence_main_root,,mock,,3668.3999859362953,,,,,
mean_fluorescence_lateral_root,DR5v2,417pvd,8690.51909390064,8625.465097255228,65.05399664541255,0.9241011492073083,3483.037207007765,5207.481886892876,2.213171677175834e-10
mean_fluorescence_lateral_root,DR5v2,417r,9460.175663962222,9051.168894484284,409.00676947793727,0.16737996557760748,3483.037207007765,5977.138456954457,1.4845629675867875e-29
mean_fluorescence_lateral_root,DR5v2,mock,3483.037207007765,3114.9230756261113,368.1141313816538,0.5231821720683327,3483.037207007765,0.0,
mean_fluorescence_lateral_root,Col-0,417pvd,8625.465097255228,8625.465097255228,0.0,,3114.9230756261113,5510.542021629117,3.483481005841845e-05
mean_fluorescence_lateral_root,Col-0,417r,9051.168894484284,9051.168894484284,0.0,,3114.9230756261113,5936.245818858173,2.2818346362721257e-05
mean_fluorescence_lateral_root,Col-0,mock,3114.9230756261113,3114.9230756261113,0.0,,3114.9230756261113,0.0,
mean_fluorescence_lateral_root,,417pvd,,8625.465097255228,,,,,
mean_fluorescence_lateral_root,,417r,,9051.168894484284,,,,,
mean_fluorescence_lateral_root,,mock,,3114.9230756261113,,,,,
mean_fluorescence_main_root_tip,DR5v2,417pvd,16308.747131147538,14615.634426229508,1693.1127049180304,0.0774418629713146,3852.100517687661,12456.646613459878,1.2474417053403826e-12
mean_fluorescence_main_root_tip,DR5v2,417r,19479.181967213117,21169.59016393443,-1690.4081967213133,0.2582380109728308,3852.100517687661,15627.081449525456,3.889922970445263e-11
mean_fluorescence_main_root_tip,DR5v2,mock,3852.100517687661,3679.479508196721,172.6210094909402,0.26911354413172417,3852.100517687661,0.0,
mean_fluorescence_main_root_tip,Col-0,417pvd,14615.634426229508,14615.634426229508,0.0,,3679.479508196721,10936.154918032787,8.773156638808526e-06
mean_fluorescence_main_root_tip,Col-0,417r,21169.59016393443,21169.59016393443,0.0,,3679.479508196721,17490.11065573771,2.4692621138793303e-05
mean_fluorescence_main_root_tip,Col-0,mock,3679.479508196721,3679.479508196721,0.0,,3679.479508196721,0.0,
mean_fluorescence_main_root_tip,,417pvd,,14615.634426229508,,,,,
mean_fluorescence_main_root_tip,,417r,,21169.59016393443,,,,,
mean_fluorescence_main_root_tip,,mock,,3679.479508196721,,,,,
mean_fluorescence_other_tip,DR5v2,417pvd,6909.602931455057,6628.793192266722,280.8097391883348,0.1161599320578666,3815.756164494125,3093.8467669609317,5.540796710222589e-15
mean_fluorescence_other_tip,DR5v2,417r,7364.470781353388,7211.952645614071,152.51813573931668,0.5961835653133642,3815.756164494125,3548.7146168592626,6.265462947325282e-17
mean_fluorescence_other_tip,DR5v2,mock,3815.756164494125,3680.970409212628,134.78575528149713,0.43975055020951964,3815.756164494125,0.0,
mean_fluorescence_other_tip,Col-0,417pvd,6628.793192266722,6628.793192266722,0.0,,3680.970409212628,2947.822783054094,2.8004859245636864e-07
mean_fluorescence_other_tip,Col-0,417r,7211.952645614071,7211.952645614071,0.0,,3680.970409212628,3530.982236401443,4.757723054337346e-06
mean_fluorescence_other_tip,Col-0,mock,3680.970409212628,3680.970409212628,0.0,,3680.970409212628,0.0,
mean_fluorescence_other_tip,,417pvd,,6628.793192266722,,,,,
mean_fluorescence_other_tip,,417r,,7211.952645614071,,,,,
mean_fluorescence_other_tip,,mock,,3680.970409212628,,,,,
mean_fluorescence_node,DR5v2,417pvd,10087.610513130223,10119.698324905323,-32.08781177509991,0.965987800398814,3447.5613213094753,6640.049191820748,1.0512674700930885e-10
mean_fluorescence_node,DR5v2,417r,11430.664642447637,11633.892685921746,-203.22804347410965,0.6166015408636821,3447.5613213094753,7983.103321138162,7.662643236095344e-24
